"times","east","north"
1999.2225,0.708848,0.275605
1999.2361,0.701368,0.27398
1999.2608,0.702972,0.278986
1999.2635,0.701445,0.277389
1999.2663,0.700846,0.275958
1999.269,0.700862,0.276023
1999.2717,0.70479,0.276518
1999.2745,0.702231,0.275777
1999.2772,0.703365,0.2741
1999.2799,0.704315,0.276977
1999.2827,0.703109,0.272497
1999.2854,0.702645,0.27557
1999.2882,0.703515,0.27547
1999.2909,0.700543,0.276912
1999.2936,0.70598,0.274147
1999.2964,0.702421,0.275142
1999.2991,0.700985,0.273109
1999.3018,0.698958,0.275214
1999.3046,0.702425,0.277481
1999.3073,0.702987,0.274761
1999.3101,0.70314,0.277333
1999.3128,0.701273,0.275538
1999.3155,0.703812,0.277545
1999.3183,0.704936,0.278809
1999.321,0.704077,0.275009
1999.3238,0.702805,0.275641
1999.3265,0.701121,0.276668
1999.3292,0.700674,0.276497
1999.332,0.701506,0.274409
1999.3347,0.703143,0.275002
1999.3374,0.699915,0.275188
1999.3402,0.699074,0.274491
1999.3429,0.700715,0.275431
1999.3457,0.701479,0.275046
1999.3484,0.699859,0.276097
1999.3511,0.700504,0.278279
1999.3539,0.700793,0.276406
1999.3566,0.70445,0.275046
1999.3593,0.703634,0.277655
1999.3621,0.699212,0.275298
1999.3648,0.700978,0.276521
1999.3676,0.702804,0.277253
1999.3703,0.701483,0.275862
1999.373,0.701213,0.275068
1999.3758,0.698975,0.274835
1999.3785,0.700394,0.274602
1999.3812,0.700456,0.274512
1999.384,0.698514,0.273477
1999.3867,0.70081,0.272618
1999.3895,0.698743,0.276004
1999.3922,0.701019,0.275076
1999.3949,0.701026,0.273899
1999.3977,0.700431,0.274245
1999.4004,0.697852,0.274079
1999.4031,0.700126,0.274715
1999.4059,0.700392,0.276002
1999.4086,0.701197,0.27446
1999.4114,0.700925,0.275174
1999.4141,0.698656,0.2751
1999.4168,0.699703,0.278627
1999.4196,0.70175,0.278724
1999.4223,0.697769,0.274192
1999.4251,0.695377,0.273426
1999.4278,0.698774,0.273638
1999.4305,0.69821,0.27474
1999.4333,0.69749,0.274949
1999.436,0.695387,0.274138
1999.4387,0.693258,0.273277
1999.4415,0.697151,0.274525
1999.4442,0.697721,0.276124
1999.447,0.695095,0.275297
1999.4497,0.69955,0.277333
1999.4524,0.699025,0.274676
1999.4552,0.697777,0.273578
1999.4579,0.698386,0.273676
1999.4606,0.697981,0.273053
1999.4634,0.696494,0.275285
1999.4661,0.695838,0.271747
1999.4689,0.694839,0.273398
1999.4716,0.694969,0.272195
1999.4743,0.695132,0.271106
1999.4771,0.696346,0.271883
1999.4798,0.696732,0.270216
1999.4825,0.697419,0.272837
1999.4853,0.694473,0.270823
1999.488,0.696917,0.27069
1999.4908,0.696718,0.272666
1999.4935,0.696317,0.270547
1999.4962,0.696193,0.270976
1999.499,0.693566,0.270231
1999.5017,0.696064,0.270257
1999.5044,0.696604,0.273731
1999.5072,0.696327,0.273735
1999.5099,0.693971,0.271819
1999.5127,0.695293,0.270119
1999.5154,0.694426,0.268036
1999.5181,0.693975,0.272534
1999.5209,0.696489,0.27163
1999.5236,0.695452,0.274294
1999.5264,0.695952,0.270625
1999.5291,0.698406,0.273778
1999.5318,0.697523,0.272123
1999.5346,0.691788,0.270992
1999.5373,0.695009,0.272041
1999.54,0.694946,0.271004
1999.5428,0.696013,0.270839
1999.5455,0.692921,0.270335
1999.5483,0.696954,0.271832
1999.551,0.693122,0.271693
1999.5537,0.695239,0.269313
1999.5565,0.695086,0.270898
1999.5592,0.693847,0.26814
1999.5619,0.695469,0.268393
1999.5647,0.69451,0.272041
1999.5674,0.693868,0.2683
1999.5702,0.694771,0.270845
1999.5729,0.694158,0.270933
1999.5756,0.694027,0.269183
1999.5784,0.694361,0.271771
1999.5811,0.693111,0.272469
1999.5838,0.694414,0.272826
1999.5866,0.696265,0.272711
1999.5893,0.696638,0.271517
1999.5921,0.696346,0.269375
1999.5948,0.692182,0.269233
1999.5975,0.691843,0.268492
1999.6003,0.695649,0.269729
1999.603,0.693344,0.271499
1999.6057,0.697801,0.273869
1999.6085,0.695768,0.270201
1999.6112,0.696194,0.272526
1999.614,0.695239,0.269941
1999.6167,0.694504,0.271833
1999.6194,0.698786,0.271459
1999.6222,0.699016,0.269706
1999.6249,0.692933,0.269267
1999.6277,0.692388,0.270746
1999.6304,0.688553,0.270695
1999.6331,0.69059,0.269976
1999.6359,0.693866,0.271192
1999.6386,0.694286,0.272707
1999.6413,0.692837,0.269045
1999.6441,0.695275,0.272205
1999.6468,0.691636,0.269056
1999.6496,0.689331,0.26847
1999.6523,0.694141,0.268857
1999.655,0.689746,0.270848
1999.6578,0.69105,0.270651
1999.6605,0.689503,0.271208
1999.6632,0.688428,0.27371
1999.666,0.688733,0.269539
1999.6687,0.691042,0.272799
1999.6715,0.689768,0.269908
1999.6742,0.689592,0.271297
1999.6769,0.69002,0.272265
1999.6797,0.692823,0.270416
1999.6824,0.690563,0.269978
1999.6851,0.692575,0.270093
1999.6879,0.691896,0.272119
1999.6906,0.692691,0.269871
1999.6934,0.688302,0.271677
1999.6961,0.691126,0.269224
1999.6988,0.69009,0.271222
1999.7016,0.691336,0.271021
1999.7043,0.691539,0.268663
1999.707,0.689337,0.269104
1999.7098,0.690878,0.270224
1999.7125,0.688102,0.271351
1999.7153,0.689235,0.270345
1999.718,0.688808,0.270014
1999.7207,0.687882,0.272844
1999.7235,0.690176,0.271034
1999.7262,0.690955,0.274485
1999.729,0.692011,0.271224
1999.7317,0.691871,0.269746
1999.7344,0.690145,0.270729
1999.7372,0.689346,0.271646
1999.7399,0.692682,0.273198
1999.7426,0.690038,0.273215
1999.7454,0.688025,0.273719
1999.7481,0.688769,0.27117
1999.7509,0.691747,0.272464
1999.7536,0.689939,0.272546
1999.7563,0.688022,0.27569
1999.7591,0.690121,0.268636
1999.7618,0.690682,0.27666
1999.7645,0.690112,0.26915
1999.7673,0.693616,0.270998
1999.77,0.689675,0.270404
1999.7728,0.689184,0.271814
1999.7755,0.691376,0.274256
1999.7782,0.688247,0.273113
1999.781,0.688384,0.272406
1999.7837,0.690761,0.276076
1999.7864,0.688265,0.272678
1999.7892,0.687596,0.272318
1999.7919,0.687734,0.270035
1999.7947,0.68744,0.265664
1999.7974,0.686517,0.266959
1999.8001,0.68682,0.265007
1999.8029,0.686739,0.266447
1999.8193,0.685038,0.263952
1999.822,0.685125,0.266429
1999.8248,0.684187,0.266121
1999.8275,0.688607,0.264148
1999.8303,0.685563,0.264882
1999.833,0.685961,0.264776
1999.8357,0.686752,0.265675
1999.8385,0.687472,0.264289
1999.8412,0.687602,0.264283
1999.8439,0.685327,0.26427
1999.8467,0.686222,0.264584
1999.8494,0.685545,0.265736
1999.8522,0.685351,0.265133
1999.8549,0.683938,0.262482
1999.8576,0.685198,0.261141
1999.8604,0.686994,0.263489
1999.8631,0.686854,0.263059
1999.8658,0.682768,0.262875
1999.8686,0.683745,0.263233
1999.8713,0.686784,0.263421
1999.8741,0.68497,0.265656
1999.8768,0.685709,0.262667
1999.8795,0.686936,0.262856
1999.8823,0.684942,0.264071
1999.885,0.685982,0.259328
1999.8905,0.688573,0.261204
1999.8932,0.683337,0.266641
1999.896,0.688988,0.265519
1999.8987,0.686053,0.267
1999.9014,0.687014,0.262731
1999.9042,0.687838,0.263572
1999.9069,0.690225,0.263464
1999.9097,0.68988,0.264405
1999.9124,0.689872,0.26239
1999.9179,0.688277,0.26182
1999.9206,0.689252,0.258449
1999.9425,0.686702,0.264363
1999.9452,0.686552,0.262963
1999.948,0.682039,0.260279
1999.9507,0.685402,0.260159
1999.9535,0.686851,0.263501
1999.9562,0.685338,0.259442
1999.9589,0.686347,0.263276
1999.9617,0.683819,0.263622
1999.9644,0.683608,0.263883
1999.9671,0.684565,0.259995
1999.9699,0.688619,0.263438
1999.9726,0.688009,0.261461
1999.9754,0.685467,0.263926
1999.9781,0.688926,0.263456
1999.9808,0.688076,0.261828
1999.9836,0.688235,0.260537
1999.9863,0.687379,0.262431
1999.989,0.686319,0.260882
1999.9918,0.68529,0.261092
1999.9945,0.686194,0.262741
1999.9973,0.686212,0.262754
2000,0.685353,0.263523
2000.0027,0.682606,0.263293
2000.0055,0.685349,0.264332
2000.0082,0.68674,0.263529
2000.011,0.687254,0.264391
2000.0137,0.687848,0.261218
2000.0164,0.687609,0.264538
2000.0192,0.686696,0.260888
2000.0219,0.686516,0.261192
2000.0246,0.688035,0.261634
2000.0274,0.687621,0.259707
2000.0301,0.687291,0.264184
2000.0329,0.689181,0.265923
2000.0356,0.687363,0.265395
2000.0383,0.69085,0.264481
2000.0411,0.690907,0.26111
2000.0438,0.686603,0.264281
2000.0465,0.689825,0.26219
2000.0493,0.687911,0.261787
2000.052,0.686763,0.260067
2000.0548,0.683677,0.26041
2000.0575,0.68428,0.262557
2000.0602,0.686155,0.262549
2000.063,0.682995,0.26095
2000.0657,0.688069,0.262214
2000.0684,0.688064,0.264277
2000.0712,0.687547,0.260098
2000.0739,0.686916,0.259602
2000.0767,0.687391,0.258885
2000.0794,0.686181,0.264565
2000.0821,0.687389,0.259828
2000.0849,0.689461,0.258054
2000.0876,0.685177,0.264089
2000.0903,0.685532,0.264642
2000.0931,0.68525,0.260848
2000.0958,0.685782,0.258926
2000.0986,0.686572,0.260549
2000.1013,0.686532,0.261816
2000.104,0.68662,0.260658
2000.1068,0.687382,0.260775
2000.1095,0.685846,0.2607
2000.1123,0.685877,0.263128
2000.115,0.68621,0.263481
2000.1177,0.683012,0.261976
2000.1205,0.688521,0.262145
2000.1232,0.688267,0.26308
2000.1259,0.686286,0.263242
2000.1287,0.685092,0.259456
2000.1314,0.686274,0.259946
2000.1342,0.687125,0.260189
2000.1369,0.686242,0.260766
2000.1396,0.683867,0.259867
2000.1424,0.683423,0.258718
2000.1451,0.684171,0.258785
2000.1478,0.684411,0.259463
2000.1506,0.685113,0.260078
2000.1533,0.683048,0.25798
2000.1561,0.682401,0.258591
2000.1588,0.682605,0.257902
2000.1615,0.682835,0.259573
2000.1643,0.68763,0.255402
2000.167,0.686434,0.26077
2000.1697,0.683771,0.257731
2000.1725,0.683976,0.255483
2000.1752,0.683989,0.259735
2000.178,0.684666,0.255921
2000.1807,0.68429,0.257187
2000.1834,0.684569,0.260061
2000.1862,0.684278,0.261586
2000.1889,0.683686,0.259234
2000.1916,0.683217,0.258314
2000.1944,0.684145,0.258672
2000.1971,0.683205,0.259792
2000.1999,0.680916,0.258394
2000.2026,0.679925,0.260212
2000.2053,0.682893,0.259463
2000.2081,0.682536,0.257845
2000.2108,0.680986,0.258058
2000.2136,0.680198,0.262779
2000.2163,0.68431,0.259411
2000.219,0.685062,0.256325
2000.2218,0.682176,0.260142
2000.2245,0.680204,0.25909
2000.2272,0.682505,0.258195
2000.23,0.686182,0.256921
2000.2327,0.6817,0.25905
2000.2355,0.680875,0.25799
2000.2382,0.68534,0.255677
2000.2409,0.679047,0.257002
2000.2437,0.683188,0.256332
2000.2464,0.68138,0.258329
2000.2491,0.686135,0.25999
2000.2519,0.674992,0.260123
2000.2546,0.682556,0.259428
2000.2574,0.680741,0.259239
2000.2601,0.682002,0.256331
2000.2628,0.682828,0.261012
2000.2656,0.684033,0.257721
2000.2683,0.682583,0.258181
2000.271,0.680927,0.258839
2000.2738,0.681035,0.25934
2000.2765,0.684111,0.258359
2000.2793,0.683078,0.259476
2000.282,0.682814,0.259242
2000.2847,0.679649,0.255054
2000.2875,0.678977,0.260159
2000.2902,0.680214,0.25781
2000.293,0.681188,0.257764
2000.2957,0.685242,0.258247
2000.2984,0.68259,0.256756
2000.3012,0.679831,0.259182
2000.3039,0.682768,0.259255
2000.3066,0.680833,0.256691
2000.3094,0.680916,0.256692
2000.3121,0.679663,0.258105
2000.3149,0.681908,0.257737
2000.3176,0.684076,0.259687
